"product_id","title","brand","source","rating","reviews","price","extracted_price","old_price","extracted_old_price","climate_pledge_friendly","rating_numeric","reviews_numeric","ram_gb","display_inches","processor_type","graphics","os","is_refurbished","is_gaming","is_2in1","storage_gb","price_category","rating_category","price_per_ram","price_per_storage","value_score","popularity_tier","product_tier","brand_category","is_sponsored","popularity","product_type","brand_tier"
"17064651290","omen gaming laptop 16"" 2k amd ryzen ai 7 16 gb memory;1 tb ssd windows 11 home","HP","Walmart","5.0","1","$1159.99",1159.99,"$1799.99",1799.99,"",5,1,16,16,"AMD Other","Unknown","Windows 11",FALSE,TRUE,FALSE,1024,"Premium ($1k-$1.5k)","Excellent (4.5-5)",72.499375,1.132802734375,231.998,"Very Low (<10)","Gaming","Premium Brand",FALSE,"Few Reviews","Gaming Laptop","Premium"
"2609344623","hp - victus 15.6"" full hd 144hz gaming laptop - intel core i5-13420h - 8gb memory - nvidia geforce rtx 3050 - 512gb ssd - performance blue","HP","Walmart","4.0","34","$586.59",586.59,"N/A",0,"",4,34,8,15.6,"Intel Core i5","NVIDIA RTX 30 Series","Unknown",FALSE,TRUE,FALSE,512,"Mid-Range ($500-$1k)","Average (3.5-4.0)",73.32375,1.14568359375,146.6475,"Low (10-99)","Gaming","Premium Brand",FALSE,"Some Reviews","Gaming Laptop","Premium"
"16940263573","hp - victus 15.6"" 144hz full hd gaming laptop - amd ryzen 7 7445hs - 16gb memory - nvidia geforce rtx 4050 - 512gb ssd - mica silver","HP","Walmart","0.0","0","$689.00",689,"$729.00",729,"",0,0,16,15.6,"AMD Ryzen 7","NVIDIA RTX Other","Unknown",FALSE,TRUE,FALSE,512,"Mid-Range ($500-$1k)",NA,43.0625,1.345703125,NA,"Very Low (<10)","Gaming","Premium Brand",FALSE,"No Reviews","Gaming Laptop","Premium"
"6112021974","lenovo 15.6"" fhd loq gaming laptop – amd ryzen 7 7435hs, rtx 4060, 16gb ram, 512gb ssd","Lenovo","Walmart","5.0","8","$1099.00",1099,"N/A",0,"",5,8,16,15.6,"AMD Ryzen 7","Unknown","Unknown",FALSE,TRUE,FALSE,512,"Premium ($1k-$1.5k)","Excellent (4.5-5)",68.6875,2.146484375,219.8,"Very Low (<10)","Gaming","Premium Brand",FALSE,"Few Reviews","Gaming Laptop","Premium"
"5505893351","asus rog strix g16 16"" gaming laptop, intel core i9, 32gb, 2tb ssd, geforce rtx 4070, eclipse gray","ASUS","Walmart","4.5","27","$2299.97",2299.97,"N/A",0,"",4.5,27,32,16,"Intel Core i9","Unknown","Unknown",FALSE,TRUE,FALSE,2048,"High-End ($1.5k-$3k)","Good (4.0-4.5)",71.8740625,1.1230322265625,511.104444444444,"Low (10-99)","Gaming","Premium Brand",FALSE,"Some Reviews","Gaming Laptop","Premium"
"17188856977","asus rog strix g16 (2025) gaming laptop, 16 fhd+ 16:10 165hz/3ms display, nvidia geforce rtx 5060 laptop gpu, intel core i7 processor 14650hx, 16gb ddr5, 1tb gen 4 ssd, wi-fi 7, windows 11 home","ASUS","Walmart","5.0","2","$1299.99",1299.99,"$1386.00",1386,"",5,2,16,16,"Intel Core i7","NVIDIA RTX Other","Windows 11",FALSE,TRUE,FALSE,1024,"Premium ($1k-$1.5k)","Excellent (4.5-5)",81.249375,1.269521484375,259.998,"Very Low (<10)","Gaming","Premium Brand",FALSE,"Few Reviews","Gaming Laptop","Premium"
"18197263689","hp 14"" business &amp; student portable laptop, intel n150 cpu, 16gb ram, 128gb ufs+256gb msd storage, wi-fi 6, copilot ai,windows 11 pro, 1-year microsoft office 365, honey lavender","HP","Walmart","3.7","200","$459.99",459.99,"N/A",0,"",3.7,200,16,14,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,128,"Budget (<$500)","Average (3.5-4.0)",28.749375,3.593671875,124.321621621622,"Medium (100-999)","Standard","Premium Brand",FALSE,"Popular","Budget Laptop","Premium"
"7313307415","15.6-fhd-laptop student-laptop, 8gb ram 256gb ssd intel pentium quad core n100 (beat to i3-1115g4 up to 3.4ghz), laptop-computer with backlit keyboard fingerprint home-laptop, windows 11 laptop","Unknown","Walmart","4.4","143","$239.99",239.99,"$459.99",459.99,"",4.4,143,8,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,256,"Budget (<$500)","Good (4.0-4.5)",29.99875,0.9374609375,54.5431818181818,"Medium (100-999)","Standard","Generic/No-name",FALSE,"Popular","Budget Laptop","Generic"
"17743323175","rnruo 15.6"" laptop computer, 32gb ram 1tb ssd, intel pentium gold 6500y with 2 cores up to 3.4ghz, fhd display, office 2024, wifi5 bt5.0, windows 11 laptop for business, student, office, dark gray","RNRUO","Walmart","3.1","642","$378.99",378.99,"$589.00",589,"",3.1,642,32,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,1024,"Budget (<$500)","Poor (<3.5)",11.8434375,0.370107421875,122.254838709677,"Medium (100-999)","Workstation","Budget Chinese",FALSE,"Popular","Workstation","Budget"
"13982958746","hp 14 inch hd windows laptop intel processor n150 4gb ram 128gb ufs tranquil pink","HP","Walmart","4.2","5710","$169.00",169,"$229.00",229,"",4.2,5710,4,14,"Intel Other","Unknown","Windows",FALSE,FALSE,FALSE,128,"Budget (<$500)","Good (4.0-4.5)",42.25,1.3203125,40.2380952380952,"High (1k-9.9k)","Standard","Premium Brand",FALSE,"Very Popular","Budget Laptop","Premium"
"16025207864","hp newest 14"" laptop, slim light laptop computer for students and business, intel 12th core n4500,1 year office 365, webcam,wifi,16gb ram,192gb storage(64b emmc+128gb sd) windows 11 home","HP","Walmart","3.8","59","$263.76",263.76,"N/A",0,"",3.8,59,16,14,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,192,"Budget (<$500)","Average (3.5-4.0)",16.485,1.37375,69.4105263157895,"Low (10-99)","Standard","Premium Brand",FALSE,"Some Reviews","Budget Laptop","Premium"
"5613154099","nimo 15.6-inch fhd laptop  n100 with intel quad core-12th(up to 3.4ghz), 16gb ram 1tb rom business student laptop computer,fingerprint, type c, pink","NIMO","Walmart","4.4","15","$349.79",349.79,"N/A",0,"",4.4,15,16,15.6,"Intel Other","Unknown","Unknown",FALSE,FALSE,FALSE,NA,"Budget (<$500)","Good (4.0-4.5)",21.861875,NA,79.4977272727273,"Low (10-99)","Standard","Budget Chinese",FALSE,"Some Reviews","Budget Laptop","Budget"
"15049173091","rnruo 15.6"" windows 11 pro laptop, 32gb ram 512gb ssd, intel pentium gold 6500y up to 3.4ghz with office 2024 1920*1080 ips fhd display for student, home office, business, dard gray","RNRUO","Walmart","3.8","592","$329.99",329.99,"$552.00",552,"",3.8,592,32,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,512,"Budget (<$500)","Average (3.5-4.0)",10.3121875,0.64451171875,86.8394736842105,"Medium (100-999)","Standard","Budget Chinese",FALSE,"Popular","Workstation","Budget"
"252298675","hp newest 14"" laptop, slim light laptop computer for students and business, intel quad-core n4120, 1 year office 365, webcam, hdmi, wifi, win 11, 16gb ram, 256gb storage(128gb emmc+128gb sd)","HP","Walmart","4.1","719","$247.99",247.99,"N/A",0,"",4.1,719,16,14,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,128,"Budget (<$500)","Good (4.0-4.5)",15.499375,1.937421875,60.4853658536585,"Medium (100-999)","Standard","Premium Brand",FALSE,"Popular","Budget Laptop","Premium"
"13722470932","asus cx15 15.6 inch fhd ips chromebook laptop intel celeron n4500 4gb ram 128gb emmc pure gray","ASUS","Walmart","4.1","4710","$139.00",139,"$159.00",159,"",4.1,4710,4,15.6,"Intel Other","Unknown","Chrome OS",FALSE,FALSE,FALSE,128,"Budget (<$500)","Good (4.0-4.5)",34.75,1.0859375,33.9024390243902,"High (1k-9.9k)","Standard","Premium Brand",FALSE,"Very Popular","Budget Laptop","Premium"
"7306569021","15.6-fhd-laptop student-laptop, 16gb ram 1tb ssd intel pentium quad core n100 (beat to i3-1115g4 up to 3.4ghz), laptop-computer with backlit keyboard fingerprint home-laptop, windows 11 laptop","Unknown","Walmart","4.4","143","$349.89",349.89,"$559.99",559.99,"",4.4,143,16,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,1024,"Budget (<$500)","Good (4.0-4.5)",21.868125,0.341689453125,79.5204545454545,"Medium (100-999)","Standard","Generic/No-name",FALSE,"Popular","Budget Laptop","Generic"
"15849754952","15.6-fhd-laptop,16gb ram 1tb ssd student-laptop with backlit keyboard fingerprint intel pentium quad core n100 processor (up to 3.4ghz)business-laptop,computer,2 years warranty win11,blue","Unknown","Walmart","4.4","46","$399.99",399.99,"N/A",0,"",4.4,46,16,15.6,"Intel Other","Unknown","Unknown",FALSE,FALSE,FALSE,1024,"Budget (<$500)","Good (4.0-4.5)",24.999375,0.390615234375,90.9068181818182,"Low (10-99)","Standard","Generic/No-name",FALSE,"Some Reviews","Budget Laptop","Generic"
"5232032608","lenovo ideapad 1 student laptop, 15.6"" fhd display, intel dual core processor, 20gb ram, 128gb emmc + 1tb ssd, 1 yr office 365, wi-fi 6, windows 11 home, grey","Lenovo","Walmart","4.0","53","$429.00",429,"N/A",0,"",4,53,20,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,1024,"Budget (<$500)","Average (3.5-4.0)",21.45,0.4189453125,107.25,"Low (10-99)","Standard","Premium Brand",FALSE,"Some Reviews","Budget Laptop","Premium"
"2670414563","lenovo ideapad 1 15.6 inch windows laptop amd ryzen 3-7320u 8gb ram 256gb ssd abyss blue","Lenovo","Walmart","4.3","1095","$309.99",309.99,"$339.00",339,"",4.3,1095,8,15.6,"AMD Other","Unknown","Windows",FALSE,FALSE,FALSE,256,"Budget (<$500)","Good (4.0-4.5)",38.74875,1.2108984375,72.0906976744186,"High (1k-9.9k)","Standard","Premium Brand",FALSE,"Very Popular","Budget Laptop","Premium"
"2706605807","hpi sourcing - new 15.6"" laptop, intel n-series n200, 128gb ssd, windows 11 home in s mode, 15-fd0083wm","HP","Walmart","4.2","6992","$259.99",259.99,"$299.00",299,"",4.2,6992,NA,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,128,"Budget (<$500)","Good (4.0-4.5)",NA,2.031171875,61.902380952381,"High (1k-9.9k)","Standard","Premium Brand",FALSE,"Very Popular","Budget Laptop","Premium"
"2950076964","hp 15.6 inch windows laptop intel processor n200 4gb ram 128 ufs natural silver (12-mo. microsoft 365 included)","HP","Walmart","4.2","6992","$249.99",249.99,"$299.00",299,"",4.2,6992,4,15.6,"Intel Other","Unknown","Windows",FALSE,FALSE,FALSE,NA,"Budget (<$500)","Good (4.0-4.5)",62.4975,NA,59.5214285714286,"High (1k-9.9k)","Standard","Premium Brand",FALSE,"Very Popular","Budget Laptop","Premium"
"5265054314","hp 14"" laptop, intel core i3-n305, 8gb ram, 256gb ssd, moonlight blue, windows 11, 14-ep0792wm","HP","Walmart","4.4","840","$345.00",345,"N/A",0,"",4.4,840,8,14,"Intel Core i3","Unknown","Windows 11",FALSE,FALSE,FALSE,256,"Budget (<$500)","Good (4.0-4.5)",43.125,1.34765625,78.4090909090909,"Medium (100-999)","Standard","Premium Brand",FALSE,"Popular","Budget Laptop","Premium"
"17803113046","rnruo 15.6"" windows 11 laptop, dual 8gb ram, 256gb ssd, amd 3020e processor with 2 cores up to 2.6ghz, with office 2024, 1920x1080 display wifi5 bt5.0 for student, home office, business","RNRUO","Walmart","4.4","7","$199.99",199.99,"$379.00",379,"",4.4,7,8,15.6,"Intel Other","Unknown","Windows 11",FALSE,FALSE,FALSE,256,"Budget (<$500)","Good (4.0-4.5)",24.99875,0.7812109375,45.4522727272727,"Very Low (<10)","Standard","Budget Chinese",FALSE,"Few Reviews","Budget Laptop","Budget"
