combined_id,source,product_id,position,sponsored,brand_final,title,rating,reviews,price,extracted_price,old_price,extracted_old_price,delivery,free_shipping,in_stock,seller,climate_pledge_friendly,search_query,page_fetched
Amazon_B0FX2S5CC3,Amazon,B0FX2S5CC3,16,False,Dell,"Dell Inspiron 15.6"" FHD Touch Screen Business Laptop, 8-Core AMD Ryzen 7 (Beat i7-1255U), 16GB RAM 1TB SSD, Win 11 Pro, Copilot AI, WiFi, Bluetooth, Long Battery Life, w/GM Accessory",5.0,2,$587.00,587.0,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0DJHDGV8Z,Amazon,B0DJHDGV8Z,18,False,HP,"HP 255 G10 Professional Business Laptop, AMD Ryzen 7 7730U, 15.6"" FHD IPS Display, 64GB RAM, 1TB SSD, HDMI, Wi-Fi 6, Webcam, Windows 11 Pro, Black, with Thunderobot ML101 Green Wireless Mouse",4.0,12,$759.00,759.0,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0C6NC4KRT,Amazon,B0C6NC4KRT,19,False,HP,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",4.2,940,$533.00,533.0,N/A,0.0,"['FREE delivery Dec 18 - 22', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0FP3N9BPC,Amazon,B0FP3N9BPC,20,False,Lenovo,"Lenovo 2026 New Generation 15.6"" Business Laptop for Everyday Use| AMD Ryzen 7 5825U(Outperforms i9-10885H) |16GB RAM | 512GB SSD | Ultra Quiet Design | Long Battery Life | Wi-Fi 6 | Windows 11 Pro",4.7,14,$539.99,539.99,N/A,0.0,"['FREE delivery Dec 19 - 23', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0G3ZWJY5K,Amazon,B0G3ZWJY5K,21,True,Dell,"Dell Touchscreen Laptop, 15.6"" FHD Business Laptop Computer, Intel Core i7 1355U (10-Core), Windows 11 Home, 32GB RAM 1TB SSD, Numeric Keypad, SD Card Reader, HDMI, Carbon Black",N/A,N/A,$789.99,789.99,N/A,0.0,"['FREE delivery Wed, Dec 17']",,,,False,business laptop,3
Amazon_B0FB38NSP7,Amazon,B0FB38NSP7,22,True,HP,"HP Rose Gold Ultrabook 14 Laptop with Office 365, Intel 4-Core CPU, 1.1TB Storage (1TB OneDrive and 64GB Emmc), 8GB RAM, Windows 11, No Mouse",4.4,148,$265.98,265.98,$349.99,349.99,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0FHXSMFDN,Amazon,B0FHXSMFDN,2,True,HP,"HP 17.3 inch Laptop with Lifetime Office 365 for The Web, Intel 13th 8 Cores i3 CPU (Beat 11th i5), 16GB RAM, 256GB SSD Storage, 10 Key Number Pad, Windows 11, No Mouse",4.3,117,$499.99,499.99,$799.00,799.0,"['FREE delivery Tue, Dec 16']",,,,False,student laptop,1
Amazon_B0CPKS65P5,Amazon,B0CPKS65P5,4,False,HP,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",4.1,3600,$237.00,237.0,$299.00,299.0,"['FREE delivery Mon, Dec 22', 'Or fastest delivery Wed, Dec 17']",,,,False,student laptop,1
Amazon_B0G2X7KMYL,Amazon,B0G2X7KMYL,5,False,HP,"HP 14"" Touchscreen Laptop Computer for Student Study Home, 1-Year Office 365, Intel Processor, 4GB RAM, 64GB eMMC, WiFi 6, Bluetooth 5.4, Type-C, HDMI, Pale Rose Gold, Windows 11 S",4.3,1000,$299.99,299.99,N/A,0.0,['FREE delivery Dec 18 - 22'],,,,False,student laptop,1
Amazon_B0FT4CBGW8,Amazon,B0FT4CBGW8,6,False,HP,"HP 15.6"" Touchscreen FHD Laptop Computer for Student Home and Business, 16GB DDR4 RAM, 1TB PCIe SSD, Intel i3-N305 Processor 8-Core, WiFi 6, Bluetooth 5.4, Webcam, Type-C, Windows 11 Home",4.6,401,$499.99,499.99,$949.00,949.0,"['FREE delivery Wed, Dec 17', 'Or fastest delivery Tue, Dec 16']",,,,False,student laptop,1
Amazon_B0FW5KFV7M,Amazon,B0FW5KFV7M,7,True,HP,"HP 14"" Laptop Computer, 16GB RAM 1.38TB Storage(384GB SSD and 1TB Cloud Storage), Laptops for Business and Student with 1-Year Office 365, Wi-Fi 6, Win11, W/Accessories",N/A,N/A,$329.99,329.99,N/A,0.0,"['FREE delivery Mon, Dec 22', 'Or fastest delivery Tue, Dec 16']",,,,False,student laptop,1
Amazon_B0G136D5NN,Amazon,B0G136D5NN,10,False,HP,"HP Chromebook 14 Laptop, Intel Celeron, 4GB RAM 64GB eMMC (Optional Upgrade to 8GB 128GB), 14” HD Display, Webcam, Chrome OS, Long Battery Life, WiFi, Wireless Earbuds, Great for School, Work & Gifts",4.8,7,$239.99,239.99,$349.99,349.99,"['FREE delivery Wed, Dec 17']",,,,False,student laptop,1
